stats_o/std,test/episode,epoch,stats_g/mean,stats_o/mean,test/mean_Q,train/success_rate,stats_g/std,train/episode,test/success_rate
0.04900800809264183,20.0,0,0.8421028256416321,0.20344430208206177,-2.9441897869110107,0.023333333333333334,0.09593621641397476,100.0,0.0
0.04685233533382416,40.0,1,0.8454875349998474,0.20394517481327057,-4.560685157775879,0.03666666666666667,0.09433821588754654,200.0,0.05000000000000001
0.04682783782482147,60.0,2,0.846198320388794,0.20418065786361694,-6.351541996002197,0.03666666666666667,0.0939897820353508,300.0,0.08333333333333333
0.04663481190800667,80.0,3,0.8464296460151672,0.20412065088748932,-8.326130867004395,0.04666666666666667,0.09387558698654175,400.0,0.016666666666666666
0.04719173535704613,100.0,4,0.8462891578674316,0.2041364461183548,-10.271273612976074,0.03666666666666667,0.09300623089075089,500.0,0.016666666666666666
0.04790477082133293,120.0,5,0.8462865352630615,0.2041902095079422,-12.596107482910156,0.056666666666666664,0.09326162189245224,600.0,0.0
0.05183345451951027,140.0,6,0.8464810848236084,0.20416505634784698,-13.201996803283691,0.02,0.09406640380620956,700.0,0.03333333333333333
0.05523587390780449,160.0,7,0.8466663360595703,0.2041236311197281,-14.41593074798584,0.03666666666666667,0.09432556480169296,800.0,0.08333333333333333
0.05800345540046692,180.0,8,0.8462851047515869,0.20417363941669464,-15.03821086883545,0.03666666666666667,0.09452009201049805,900.0,0.05000000000000001
0.05963348224759102,200.0,9,0.8456647396087646,0.20409555733203888,-16.32244300842285,0.043333333333333335,0.09557338804006577,1000.0,0.08333333333333333
0.062039926648139954,220.0,10,0.8457745909690857,0.20407842099666595,-18.257497787475586,0.04666666666666666,0.09676757454872131,1100.0,0.05000000000000001
0.06488411128520966,240.0,11,0.8456917405128479,0.20409925282001495,-19.81514549255371,0.04666666666666667,0.09762794524431229,1200.0,0.03333333333333333
0.0675744041800499,260.0,12,0.845691442489624,0.20416013896465302,-19.539201736450195,0.060000000000000005,0.09863561391830444,1300.0,0.09999999999999999
0.07050047814846039,280.0,13,0.8459338545799255,0.20414017140865326,-19.073104858398438,0.03333333333333333,0.09963987022638321,1400.0,0.06666666666666667
0.07346459478139877,300.0,14,0.8461547493934631,0.20421235263347626,-19.084985733032227,0.10000000000000002,0.10033849626779556,1500.0,0.11666666666666665
0.07563385367393494,320.0,15,0.8460578322410583,0.2041371613740921,-19.354402542114258,0.08666666666666667,0.10072352737188339,1600.0,0.11666666666666668
0.07707672566175461,340.0,16,0.8464145064353943,0.2042963057756424,-18.169954299926758,0.10333333333333333,0.10081532597541809,1700.0,0.16666666666666666
0.07820507138967514,360.0,17,0.8462319374084473,0.20431029796600342,-19.351600646972656,0.12,0.10081031918525696,1800.0,0.11666666666666665
0.07908599078655243,380.0,18,0.8459253311157227,0.2041648030281067,-20.361791610717773,0.07333333333333335,0.10154879093170166,1900.0,0.16666666666666666
0.08076689392328262,400.0,19,0.8459493517875671,0.20424354076385498,-20.327259063720703,0.10666666666666667,0.10207673162221909,2000.0,0.2333333333333333
0.08238904178142548,420.0,20,0.8459498882293701,0.20427586138248444,-18.704191207885742,0.18999999999999997,0.10211160778999329,2100.0,0.13333333333333333
0.08411077409982681,440.0,21,0.8461102843284607,0.20431463420391083,-18.726163864135742,0.16,0.10212726145982742,2200.0,0.2333333333333333
0.08622192591428757,460.0,22,0.8460991382598877,0.20430177450180054,-15.678398132324219,0.17333333333333334,0.1022191047668457,2300.0,0.26666666666666666
0.08756788820028305,480.0,23,0.8461280465126038,0.20420455932617188,-18.2714786529541,0.14,0.1022166833281517,2400.0,0.2833333333333333
0.08927193284034729,500.0,24,0.8461108803749084,0.20420707762241364,-16.1600399017334,0.16333333333333333,0.10277321189641953,2500.0,0.3333333333333333
0.09066272526979446,520.0,25,0.8460176587104797,0.20411469042301178,-17.399232864379883,0.19999999999999998,0.10301095247268677,2600.0,0.3
0.09167293459177017,540.0,26,0.8461744785308838,0.20411600172519684,-19.786041259765625,0.2733333333333334,0.10277978330850601,2700.0,0.3
0.0932219848036766,560.0,27,0.8461610674858093,0.20415355265140533,-18.387414932250977,0.24,0.10262946039438248,2800.0,0.3499999999999999
0.0942659005522728,580.0,28,0.8461990356445312,0.2041434794664383,-16.489126205444336,0.26,0.10276186466217041,2900.0,0.3833333333333333
0.09523239731788635,600.0,29,0.8462569117546082,0.20422600209712982,-14.121612548828125,0.24333333333333332,0.10269277542829514,3000.0,0.3666666666666667
0.09644196182489395,620.0,30,0.8460792899131775,0.204227015376091,-20.820966720581055,0.26333333333333336,0.10289161652326584,3100.0,0.25
0.09748116880655289,640.0,31,0.8460865616798401,0.20435266196727753,-19.963092803955078,0.2966666666666667,0.10278568416833878,3200.0,0.2833333333333333
0.09835615009069443,660.0,32,0.8457978367805481,0.20430149137973785,-16.90886878967285,0.27666666666666667,0.10298023372888565,3300.0,0.31666666666666665
0.09945917874574661,680.0,33,0.8457215428352356,0.20433326065540314,-17.96631622314453,0.32,0.10318119078874588,3400.0,0.3333333333333333
0.1002739891409874,700.0,34,0.8457271456718445,0.2043888121843338,-14.184944152832031,0.32,0.10303300619125366,3500.0,0.46666666666666673
0.1017376258969307,720.0,35,0.8457199931144714,0.20432616770267487,-18.081045150756836,0.33666666666666667,0.10327845811843872,3600.0,0.3666666666666667
0.10264158248901367,740.0,36,0.8456714153289795,0.20433469116687775,-17.075681686401367,0.35666666666666663,0.10335435718297958,3700.0,0.4166666666666667
0.10338419675827026,760.0,37,0.8457851409912109,0.20437462627887726,-15.293978691101074,0.4066666666666667,0.1033388152718544,3800.0,0.3833333333333333
0.10411789268255234,780.0,38,0.8458016514778137,0.20431341230869293,-17.599388122558594,0.37333333333333335,0.10334348678588867,3900.0,0.39999999999999997
0.10481970757246017,800.0,39,0.845747709274292,0.204412043094635,-13.567611694335938,0.39999999999999997,0.10322728008031845,4000.0,0.5666666666666667
0.10556129366159439,820.0,40,0.8458351492881775,0.2045164704322815,-14.983248710632324,0.44333333333333336,0.10324075073003769,4100.0,0.5333333333333333
0.10615095496177673,840.0,41,0.8457606434822083,0.20455317199230194,-14.530001640319824,0.4166666666666667,0.10323555022478104,4200.0,0.4666666666666666
0.10685934871435165,860.0,42,0.8457764983177185,0.20457415282726288,-15.478840827941895,0.43333333333333335,0.10351455211639404,4300.0,0.5499999999999999
0.10741034895181656,880.0,43,0.8458313941955566,0.20462842285633087,-12.563545227050781,0.39666666666666667,0.10358729213476181,4400.0,0.6
0.10784723609685898,900.0,44,0.845737636089325,0.20466215908527374,-18.147403717041016,0.3866666666666667,0.10360420495271683,4500.0,0.43333333333333335
0.1081378385424614,920.0,45,0.8457493185997009,0.20463688671588898,-16.013025283813477,0.45999999999999996,0.10350403934717178,4600.0,0.5333333333333333
0.10845156759023666,940.0,46,0.8456844687461853,0.20465834438800812,-16.579940795898438,0.43,0.10350685566663742,4700.0,0.45
0.10878811031579971,960.0,47,0.8456580638885498,0.20469783246517181,-18.199447631835938,0.5066666666666667,0.10350314527750015,4800.0,0.5333333333333333
0.10906825214624405,980.0,48,0.8456074595451355,0.20472390949726105,-13.659510612487793,0.48333333333333334,0.10348168760538101,4900.0,0.6166666666666666
0.10944028943777084,1000.0,49,0.8455130457878113,0.2048109620809555,-16.68361473083496,0.48,0.1033582091331482,5000.0,0.5666666666666668
